company_name,status,size,suburb/town,state,ABN,URL
Portsea Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Melbourne          ","
            VIC          ",69006114727,https://www.acnc.gov.au/charity/31d54e5ce34c5c564808c375408d1490
Rainbow Bay Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Coolangatta          ","
            QLD          ",39353295632,https://www.acnc.gov.au/charity/bcbd82d94e5274e8cea6a67c04b9d2c2
Salt Surf Life Saving Club Incorporated,"
            Registered          ","
            Large          ","
            Kingscliff          ","
            NSW          ",20435851012,https://www.acnc.gov.au/charity/d39e8602fb6ebd31a10aee0384d71bab
Sawtell Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Sawtell          ","
            NSW          ",43320356044,https://www.acnc.gov.au/charity/75094823f59816ee10f684727174cf33
Scarboro Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Scarborough          ","
            WA          ",91545935250,https://www.acnc.gov.au/charity/e206003486de305fe7a1d4185bb8c3b1
Seacliff Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Seacliff          ","
            SA          ",65603038011,https://www.acnc.gov.au/charity/cc53f74349739197e171727bae945ad6
Secret Harbour Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Information Unavailable          ","
            Information Unavailable          ",65851571056,https://www.acnc.gov.au/charity/0961a85c76881b562110a0a512c7a6ea
Shellharbour Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Barrack Point          ","
            NSW          ",60579359253,https://www.acnc.gov.au/charity/da39877938ee8f84ae7842bdda282387
Smiths Beach Surf Lifesaving Club Inc.,"
            Registered          ","
            Small          ","
            Dunsborough          ","
            WA          ",69608149198,https://www.acnc.gov.au/charity/b56915caa0e76088aefa4e4112c33da1
Somerton Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Somerton Park          ","
            SA          ",85241889464,https://www.acnc.gov.au/charity/682ff2d13a11e8af72f56185dc5e9dae
South Maroubra Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Maroubra          ","
            NSW          ",20186191094,https://www.acnc.gov.au/charity/537f46684c7ad0ce0ed9a269d645ca58
Southport Surf Life Saving Club Inc.,"
            Registered          ","
            Large          ","
            Main Beach          ","
            QLD          ",96957569507,https://www.acnc.gov.au/charity/9dac858b8bcb60b722701e30299bc723
